long,lat,Title,label
30.27243358650985,59.89447780444696,Городская больница №14,1
30.18649676989955,59.8399333987308,Городская больница №15,1
30.252046085249763,59.93160651454989,Городская Покровская больница,1
30.3344630833904,59.857098183159415,Городская больница № 20,1
30.305510541066297,59.92098428106377,Клиническая ревматологическая больница № 25,2
30.295691800592827,59.849344225179294,Городская больница №26,1
30.306666298739778,59.92923024442232,Городская больница №28 "Максимилиановская",1
30.3366523852542,60.03745798237907,Городская многопрофильная больница №2,1
30.585337085242205,59.7473310887821,Городская больница №33,1
29.91760639873773,59.87740813053993,Николаевская больница,1
30.418005098731136,59.71811572279154,Городская больница № 38 им. Н.А. Семашко,1
29.970388488841987,60.10229026389302,Городская больница №40,1
30.26016982572181,59.96887700186477,Городская больница №9,1
30.371992341066445,59.924958900923386,Клиническая инфекционная больница им. С.П. Боткина,3
30.467379841064552,59.8791077622413,Госпиталь для ветеранов войн,4
30.287244798739252,59.91574407783688,Городской гериатрический медико-социальный центр,4
30.34843591408658,59.93442958300333,Городская Мариинская больница,1
30.277440058270077,59.94649956321508,Городская наркологическая больница,5
30.27808918783144,59.926309567396885,Психиатрическая больница Святого Николая Чудотворца,5
30.30916809341632,60.021845320585456,Городская психиатрическая больница №3 им. И.И.Скворцова-Степанова,5
30.387855135001253,59.91929902197391,Городская психиатрическая больница №6 (стационар с диспансером),5
30.274531524545267,59.9349813231233,Городская психиатрическая больница №7 им. акад. И.П. Павлова,5
30.36737118086925,59.97178835745351,Клиническая больница Святителя Луки,1
30.42840299872941,59.67729673192229,Туберкулезная больница №8,6
30.28000118339521,59.97242451532319,Городская клиническая больница №31,1
30.39075768339733,60.024801189991535,Городская больница Святой преподобномученицы Елизаветы,1
30.32734911223415,60.02940077674812,Городская больница Святого Великомученика Георгия,1
30.48926554106653,59.92808900792888,Городская Александровская больница,1
30.327564256412764,59.92166934722172,Введенская больница,1
29.796721241813025,59.98813186653154,Городская больница Святого Праведного Иоанна Кронштадтского,1
30.30763856990738,60.02986465438506,Гериатрическая больница №1,4
30.001538825700305,59.4492043586754,Санкт-Петербургская психиатрическая больница №1 им. П.П. Кащенко,5
30.32352888525379,60.02710888232385,Городская туберкулезная больница №2,6
29.857608896267063,59.87265521454417,Николаевская больница(психоневрологическое отделение),5
29.905730756411057,59.87982224037634,Николаевская больница (противотуберкулезное отделение),6
30.30964751223001,59.93085997280048,Амбулатория Мариинская,7
30.298067068049296,59.98490302004022,Консультативно-диагностическая поликлиника №1 Приморского района,7
30.46214486990248,59.91149424220456,Городская поликлиника № 100 Невского района Санкт-Петербурга,7
30.291882685253068,60.0103096625238,Городская поликлиника № 102,7
30.177623971756265,59.85035872140149,Городская поликлиника № 106,7
30.192227785246452,59.85118397557526,ГП №106 Взрослое поликлиническое отделение №119,7
30.498866698740777,59.95114330118927,Городская поликлиника № 107,7
30.391399829428703,59.82957182264836,Городская поликлиника № 109,7
30.386492187109948,60.02422707592982,Городская поликлиника №112,7
30.21171554292549,59.99149756637646,Городская поликлиника № 114,7
30.32420257597344,60.05725134655664,Городская поликлиника № 117,7
30.387861429436708,60.02383625943773,Городская поликлиника №118,7
30.482403223368365,59.94138826470808,Городская поликлиника №120,7
30.348407312232943,60.00006066351464,Городская поликлиника №14,7
30.41994433735504,59.956636411026864,Городская поликлиника №17,7
30.57450110294543,59.75415188129064,Городская поликлиника № 22,7
30.272330014085014,59.89625570045306,Городская поликлиника №23,7
30.277172556412225,59.90881986207441,Городская поликлиника № 24,7
30.483970052700432,59.92836487870567,Городская поликлиника №25 Невского района,7
30.307935214041308,59.9260099577453,Городская поликлиника № 27,7
30.30301368339525,59.97195769932448,Городская поликлиника № 32,7
30.297391942923944,59.95296724646303,Городская поликлиника № 34,7
30.340608798739545,59.92212513759285,Городская поликлиника №37,7
30.38237726990394,59.946562958917056,Городская поликлиника № 38,7
30.35880758339404,59.945440547316686,Городская поликлиника № 39,7
30.236623854557603,59.95006495979716,Городская поликлиника № 3,7
30.35076392943293,59.933350013203984,Городская поликлиника № 40,7
30.26208662757328,59.85110186147565,Городская поликлиника №43,7
30.37298481408372,59.8663280619296,Городская поликлиника № 44,7
30.44132010059358,59.86655066110056,Городская поликлиника № 46,7
30.30820344106396,59.864208178302746,Городская поликлиника № 48,7
30.319905727579396,59.99964236507474,Городская поликлиника № 49,7
30.34966791408332,59.85641412344141,Городская поликлиника № 51,7
30.319740798744835,60.04771425896282,Городская поликлиника № 52,7
30.392920214087965,59.96956639163844,Городская поликлиника №54,7
30.03716707126038,59.8520830309517,Городская поликлиника №64,7
30.40948935455529,59.89311988788477,Городская поликлиника №6,7
30.587661068039388,59.74710995427952,Городская поликлиника № 71,7
30.308525956410705,59.87099857126537,Городская поликлиника №75,7
30.37470816804986,59.99979072899363,Городская поликлиника № 76,7
30.50167455640931,59.83753523383336,Городская поликлиника № 77 Невского района,7
30.38298172757317,59.85030880857622,Городская поликлиника № 78,7
30.473923356412,59.90210352866211,Городская поликлиника № 87,7
30.205280341062448,59.83015976444534,Городская поликлиника №88,7
30.471413498737988,59.88519320689667,Городская поликлиника № 8,7
30.088594144771488,59.74191743123271,Городская поликлиника № 93,7
30.487437714085655,59.91383680653968,Городская поликлиника № 94 Невского района,7
30.37862936878796,60.042777802324025,Городская поликлиника № 96,7
30.35667661409103,60.04296445867333,Городская поликлиника № 97,7
30.280988727579494,60.00129980932451,Городская поликлиника № 98,7
30.344764642928155,60.055992312046165,Городская поликлиника № 99,7
30.331039283397843,60.035614044324376,Городская поликлиника № 104,7
30.263559298743445,60.01510709336279,Городская поликлиника № 111,7
30.42294098339761,60.03136937195872,Городская поликлиника №86,7
30.17021271222614,59.83565256552932,Городская поликлиника № 91,7
30.384654327574367,59.876959231703154,Городская поликлиника № 19,7
30.299306083390093,59.84955811319938,Городская поликлиника №21,7
30.33033372386349,59.92088231360268,Городская поликлиника №28,7
30.274339283393747,59.93784722290634,Городская поликлиника № 4,7
30.397369127573956,59.86887860992165,Городская поликлиника №56,7
29.789375627083142,59.99285971835921,Городская поликлиника № 74,7
30.585675674968854,59.75090177723187,Городская поликлиника №95,7
30.28034995641458,59.96317880820411,Городская поликлиника № 30,7
30.307943669903143,59.92803093647531,Городская поликлиника № 81 (Максимилиановская),7
30.2920542699043,59.95389374466125,Поликлиника №83,7
30.20122381408318,59.85314080518166,ГП №106 Офис врача общей практики №1,7
30.162584352697625,59.86033893596064,ГП №106 Офис врача общей практики №2,7
30.40233334105806,59.72073597825364,Городская поликлиника № 60 Пушкинского района,7
